Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Magnetorquer Y-axis","Custom CubeSat Magnetorquer","Used for desaturation of reaction wheels and safe-mode detumbling. Dipole moment ≥ 0.3 A·m².","electrical","actuator",1,2000.00,2000.00,"https://www.gomspace.com/products/adcs/nanopower-magnetorquer.aspx"
"Magnetorquer Z-axis","Custom CubeSat Magnetorquer","Used for desaturation of reaction wheels and safe-mode detumbling. Dipole moment ≥ 0.3 A·m².","electrical","actuator",1,2000.00,2000.00,"https://www.gomspace.com/products/adcs/nanopower-magnetorquer.aspx"
"ADCS Controller Board","Custom ADCS Control Board","Dedicated board for ADCS algorithms. Runs EKF at 100 Hz, PD control for fine pointing, and B-dot detumble algorithm. Interfaces with all ADCS sensors and actuators.","electrical","mcu",1,15000.00,15000.00,"https://www.gomspace.com/products/adcs/nanopower-adcs.aspx"
"Power Conditioning & Distribution Unit","GomSpace NanoPower P60 or DHV Technology EPS-R","Manages power from solar arrays and battery. Unregulated 28V primary bus. Provides regulated 12V/5A, 5V/6A, 3.3V/4A rails. 28V pass-through rails (5A for SAR/X-Band, 3A for Jetson). Per-panel MPPT. Overcurrent protection (eFuse, latching relay).","electrical","power",1,30000.00,30000.00,"https://www.gomspace.com/products/power/nanopower-p60.aspx"
"Li-ion Battery Pack","GomSpace BPX / Saft MP176065 / EaglePicher LCB","100–150 Wh Li-ion battery pack, 7.4V (2S) or 14.8V (4S) nominal voltage. Operational SOC 20%-90%. Cell temperature monitoring.","electrical","power",1,10000.00,10000.00,"https://www.gomspace.com/products/power/nanopower-battery-bpx.aspx"
"Deployable Solar Array Panel 1","Custom Triple-junction GaAs Solar Panel","GaAs triple-junction solar cells (XTJ-Prime or equivalent) with ≥ 30% efficiency. CFRP substrate, CMX coverglass. Contributes to ~80W BOL total power.","electrical","power",1,8000.00,8000.00,"https://www.spectrolab.com/xtjprime.html"
"Deployable Solar Array Panel 2","Custom Triple-junction GaAs Solar Panel","GaAs triple-junction solar cells (XTJ-Prime or equivalent) with ≥ 30% efficiency. CFRP substrate, CMX coverglass. Contributes to ~80W BOL total power.","electrical","power",1,8000.00,8000.00,"https://www.spectrolab.com/xtjprime.html"
"Deployable Solar Array Panel 3","Custom Triple-junction GaAs Solar Panel","GaAs triple-junction solar cells (XTJ-Prime or equivalent) with ≥ 30% efficiency. CFRP substrate, CMX coverglass. Contributes to ~80W BOL total power.","electrical","power",1,8000.00,8000.00,"https://www.spectrolab.com/xtjprime.html"
"Deployable Solar Array Panel 4","Custom Triple-junction GaAs Solar Panel","GaAs triple-junction solar cells (XTJ-Prime or equivalent) with ≥ 30% efficiency. CFRP substrate, CMX coverglass. Contributes to ~80W BOL total power.","electrical","power",1,8000.00,8000.00,"https://www.spectrolab.com/xtjprime.html"
"Fixed Body-Mounted Solar Panel 5","Custom Triple-junction GaAs Solar Panel","Body-mounted GaAs triple-junction solar cells. Contributes to ~80W BOL total power.","electrical","power",1,4000.00,4000.00,"https://www.spectrolab.com/xtjprime.html"
"Fixed Body-Mounted Solar Panel 6","Custom Triple-junction GaAs Solar Panel","Body-mounted GaAs triple-junction solar cells. Contributes to ~80W BOL total power.","electrical","power",1,4000.00,4000.00,"https://www.spectrolab.com/xtjprime.html"
"X-Band High-Rate Transmitter","Syrlinks EWC27 or Tethers Unlimited SWIFT-XTS","8.0–8.4 GHz, 150 Mbps (QPSK, rate 7/8 turbo code), 5 W RF output power. Downlinks imagery and AI alert packets. AES-256 encryption.","electrical","module",1,35000.00,35000.00,"https://www.syrlinks.com/en/ewc27"
"X-Band Phased Array Antenna","Custom 4-element Patch Array Antenna","Fixed nadir-pointing 4-element patch phased array. ~10 dBi gain, ±25° HPBW. Connected to X-Band transmitter.","electrical","module",1,8000.00,8000.00,"https://www.digikey.com/en/products/result?keywords=x-band+patch+antenna+array"
"S-Band TT&C Transceiver Module","Custom S-Band Transceiver","2.025–2.110 GHz uplink, 2.200–2.290 GHz downlink. 9.6 kbps uplink, 256 kbps downlink. 1 W RF output. CCSDS TC/TM Space Packet Protocol. For telemetry, tracking & commanding.","electrical","module",1,15000.00,15000.00,"https://www.gomspace.com/products/communication/nanopower-s-band-radio.aspx"
"S-Band Patch Antenna (+Z Face)","Custom CubeSat S-Band Patch Antenna","Provides full-sphere S-Band coverage, mounted on +Z face.","electrical","module",1,1000.00,1000.00,"https://www.digikey.com/en/products/result?keywords=s-band+patch+antenna"
"S-Band Patch Antenna (-Z Face)","Custom CubeSat S-Band Patch Antenna","Provides full-sphere S-Band coverage, mounted on -Z face.","electrical","module",1,1000.00,1000.00,"https://www.digikey.com/en/products/result?keywords=s-band+patch+antenna"
"Battery Heater Mat 1","Kapton Heater Mat","2W thermostatically controlled Kapton heater mat for battery pack. Activates if battery temperature falls below 5°C.","electrical","actuator",1,50.00,50.00,"https://www.digikey.com/en/products/detail/omega-engineering/KHLV-050-P-120/19024036"
"Battery Heater Mat 2","Kapton Heater Mat","2W thermostatically controlled Kapton heater mat for battery pack. Activates if battery temperature falls below 5°C.","electrical","actuator",1,50.00,50.00,"https://www.digikey.com/en/products/detail/omega-engineering/KHLV-050-P-120/19024036"
"Temperature Sensor Node 1","Analog Devices ADT7420 (or similar)","Monitors temperature at a specific location for thermal control.","electrical","sensor",1,10.00,10.00,"https://www.analog.com/en/products/adt7420.html"
"Temperature Sensor Node 2","Analog Devices ADT7420 (or similar)","Monitors temperature at a specific location for thermal control.","electrical","sensor",1,10.00,10.00,"https://www.analog.com/en/products/adt7420.html"
"Temperature Sensor Node 3","Analog Devices ADT7420 (or similar)","Monitors temperature at a specific location for thermal control.","electrical","sensor",1,10.00,10.00,"https://www.analog.com/en/products/adt7420.html"
"Temperature Sensor Node 4","Analog Devices ADT7420 (or similar)","Monitors temperature at a specific location for thermal control.","electrical","sensor",1,10.00,10.00,"https://www.analog.com/en/products/adt7420.html"
"Temperature Sensor Node 5","Analog Devices ADT7420 (or similar)","Monitors temperature at a specific location for thermal control.","electrical","sensor",1,10.00,10.00,"https://www.analog.com/en/products/adt7420.html"
"Temperature Sensor Node 6","Analog Devices ADT7420 (or similar)","Monitors temperature at a specific location for thermal control.","electrical","sensor",1,10.00,10.00,"https://www.analog.com/en/products/adt7420.html"
"Solar Array 1 Deployment Actuator","Shape Memory Alloy (SMA) Actuator","Pyro-free SMA actuator for deploying Solar Array Panel 1. Dual-redundant command paths, arm+fire sequence.","electrical","actuator",1,500.00,500.00,"https://www.saesgetters.com/products/shape-memory-alloys/"
"Solar Array 2 Deployment Actuator","Shape Memory Alloy (SMA) Actuator","Pyro-free SMA actuator for deploying Solar Array Panel 2. Dual-redundant command paths, arm+fire sequence.","electrical","actuator",1,500.00,500.00,"https://www.saesgetters.com/products/shape-memory-alloys/"
"Solar Array 3 Deployment Actuator","Shape Memory Alloy (SMA) Actuator","Pyro-free SMA actuator for deploying Solar Array Panel 3. Dual-redundant command paths, arm+fire sequence.","electrical","actuator",1,500.00,500.00,"https://www.saesgetters.com/products/shape-memory-alloys/"
"Solar Array 4 Deployment Actuator","Shape Memory Alloy (SMA) Actuator","Pyro-free SMA actuator for deploying Solar Array Panel 4. Dual-redundant command paths, arm+fire sequence.","electrical","actuator",1,500.00,500.00,"https://www.saesgetters.com/products/shape-memory-alloys/"
"SAR Antenna Deployment Actuator","Shape Memory Alloy (SMA) Actuator","Pyro-free SMA actuator for deploying the SAR antenna. Dual-redundant command paths, arm+fire sequence.","electrical","actuator",1,750.00,750.00,"https://www.saesgetters.com/products/shape-memory-alloys/"
"Main On-Board Computer","Xiphos Q8S","ARM Cortex-A9 dual-core + Xilinx Kintex-7 FPGA (XC7K160T), space-qualified, 4 GB DDR3 ECC RAM, 256 MB NOR flash, FreeRTOS/cFS. Handles SAR range compression, image pre-processing, data routing. Radiation tolerant ≥ 30 krad TID.","electrical","misc",1,75000.00,75000.00,"https://www.xiphos.ca/products/q8s"
"AI Accelerator Module","NVIDIA Jetson Orin NX (16 GB) - Space Modified","COTS (space-modified with shielding). 100 TOPS (INT8) performance for onboard AI inference. Shielded in 2mm aluminum vault + 0.5mm tantalum. Target ≤ 10 krad TID.","electrical","misc",1,25000.00,25000.00,"https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-orin-nx/"
"Mass Storage Flash Module","3D-Plus/Microsemi Rad-Hard NAND Flash Module","512 GB to 1 TB radiation-hardened NAND flash storage with hardware SECDED. FIFO ring buffer for raw imagery, priority queue for AI alerts. ≥ 100,000 write cycles.","electrical","misc",1,15000.00,15000.00,"https://www.3d-plus.com/products/nand-flash-memory-modules/"
"Optical Focal Plane Array Detector","Sony IMX455 (Space Screened Equivalent)","Back-side illuminated (BSI) CMOS, scientific grade. ≥ 9000 × 6000 pixels, 5.0–7.0 μm pixel pitch. PAN, Blue, Green, Red, NIR spectral channels. ≥ 30 fps burst, TDI mode.","electrical","misc",1,40000.00,40000.00,"https://www.digikey.com/en/products/result?keywords=sony+imx455"
"SAR Transceiver Electronics","Custom X-band SAR Electronics (GaN SSPA, LNA, DDS, ADC)","X-Band (9.6 GHz) radar system including GaN SSPA (20-40W peak RF), LNA (NF ≤ 2.5dB), DDS (AD9914 or equiv.), 12-bit ≥1 Gsps ADC, and TCXO (≤ 1 ppb stability). Handles LFM chirp waveform generation and raw data sampling. Onboard range compression.","electrical","misc",1,80000.00,80000.00,"https://www.analog.com/en/products/ad9914.html"
"Deployable SAR Patch Antenna","Custom 8x16 Planar Microstrip Patch Array","500mm × 300mm deployed aperture, 8 × 16 (128 elements) patch array. ≥ 28 dBi gain. Electronic beam steering (±30° azimuth) via 4-bit phase shifters per element. RF connection via flexible coaxial harness.","electrical","misc",1,35000.00,35000.00,"https://www.alibaba.com/trade/search?keywords=x-band+patch+array+antenna"
"Star Tracker (+Y Panel)","Blue Canyon Technologies NST or Sinclair Interplanetary ST-16RT2","Primary star tracker for high-accuracy attitude knowledge. ≥ 4 Hz update rate, ≤ 5 arcsec (3σ) knowledge, ≥ 10° × 10° FOV, lost-in-space capable. Mounted on +Y panel.","electrical","misc",1,30000.00,30000.00,"https://www.bluecanyontech.com/star-trackers/"
"Star Tracker (-Y Panel)","Blue Canyon Technologies NST or Sinclair Interplanetary ST-16RT2","Redundant star tracker for high-accuracy attitude knowledge. ≥ 4 Hz update rate, ≤ 5 arcsec (3σ) knowledge, ≥ 10° × 10° FOV, lost-in-space capable. Mounted on -Y panel.","electrical","misc",1,30000.00,30000.00,"https://www.sinclairinterplanetary.com/star-trackers"
"IMU / Gyroscope","Analog Devices ADIS16480 (or MEMS FOG equivalent)","High-frequency attitude data. ARW ≤ 0.003°/√hr, Bias stability ≤ 1°/hr. 100 Hz update rate.","electrical","misc",1,5000.00,5000.00,"https://www.analog.com/en/products/adis16480.html"
"Coarse Sun Sensor (+X Face)","Custom CubeSat Sun Sensor","Used for initial acquisition and safe-mode attitude hold.","electrical","misc",1,500.00,500.00,"https://www.gomspace.com/products/adcs/nanopower-sunsensor.aspx"
"Coarse Sun Sensor (-X Face)","Custom CubeSat Sun Sensor","Used for initial acquisition and safe-mode attitude hold.","electrical","misc",1,500.00,500.00,"https://www.gomspace.com/products/adcs/nanopower-sunsensor.aspx"
"Coarse Sun Sensor (+Y Face)","Custom CubeSat Sun Sensor","Used for initial acquisition and safe-mode attitude hold.","electrical","misc",1,500.00,500.00,"https://www.gomspace.com/products/adcs/nanopower-sunsensor.aspx"
"Coarse Sun Sensor (-Y Face)","Custom CubeSat Sun Sensor","Used for initial acquisition and safe-mode attitude hold.","electrical","misc",1,500.00,500.00,"https://www.gomspace.com/products/adcs/nanopower-sunsensor.aspx"
"Coarse Sun Sensor (+Z Face)","Custom CubeSat Sun Sensor","Used for initial acquisition and safe-mode attitude hold.","electrical","misc",1,500.00,500.00,"https://www.gomspace.com/products/adcs/nanopower-sunsensor.aspx"
"Coarse Sun Sensor (-Z Face)","Custom CubeSat Sun Sensor","Used for initial acquisition and safe-mode attitude hold.","electrical","misc",1,500.00,500.00,"https://www.gomspace.com/products/adcs/nanopower-sunsensor.aspx"
"Fine Sun Sensor (+Z Face)","Custom CubeSat Fine Sun Sensor","Provides precise solar tracking data, mounted on +Z face.","electrical","misc",1,1500.00,1500.00,"https://www.google.com/search?q=cubesat+fine+sun+sensor"
"Magnetometer 1","Custom CubeSat Magnetometer","Used for momentum desaturation scheduling with magnetorquers.","electrical","misc",1,1000.00,1000.00,"https://www.gomspace.com/products/adcs/nanopower-magnetometer.aspx"
"Magnetometer 2","Custom CubeSat Magnetometer","Redundant magnetometer for momentum desaturation scheduling.","electrical","misc",1,1000.00,1000.00,"https://www.gomspace.com/products/adcs/nanopower-magnetometer.aspx"
"Reaction Wheel 1","Bradford WDET10 or Microwheel 200","Provides attitude control torque. ≥ 30 mNm·s angular momentum, ≥ 0.5 mNm torque. Part of pyramid configuration.","electrical","mechanism",1,10000.00,10000.00,"https://www.sinclairinterplanetary.com/products/reaction-wheels"
"Reaction Wheel 2","Bradford WDET10 or Microwheel 200","Provides attitude control torque. ≥ 30 mNm·s angular momentum, ≥ 0.5 mNm torque. Part of pyramid configuration.","electrical","mechanism",1,10000.00,10000.00,"https://www.gomspace.com/products/adcs/nanopower-wheel-gsw200.aspx"
"Reaction Wheel 3","Bradford WDET10 or Microwheel 200","Provides attitude control torque. ≥ 30 mNm·s angular momentum, ≥ 0.5 mNm torque. Part of pyramid configuration.","electrical","mechanism",1,10000.00,10000.00,"https://www.sinclairinterplanetary.com/products/reaction-wheels"
"Reaction Wheel 4 (Redundant)","Bradford WDET10 or Microwheel 200","Redundant reaction wheel for attitude control. Skewed 54.7° from Z-axis. ≥ 30 mNm·s angular momentum, ≥ 0.5 mNm torque.","electrical","mechanism",1,10000.00,10000.00,"https://www.gomspace.com/products/adcs/nanopower-wheel-gsw200.aspx"
"Magnetorquer X-axis","Custom CubeSat Magnetorquer","Used for desaturation of reaction wheels and safe-mode detumbling. Dipole moment ≥ 0.3 A·m².","electrical","misc",1,2000.00,2000.00,"https://www.gomspace.com/products/adcs/nanopower-magnetorquer.aspx"
"Magnetorquer Y-axis","Custom CubeSat Magnetorquer","Used for desaturation of reaction wheels and safe-mode detumbling. Dipole moment ≥ 0.3 A·m².","electrical","misc",1,2000.00,2000.00,"https://www.gomspace.com/products/adcs/nanopower-magnetorquer.aspx"
"Magnetorquer Z-axis","Custom CubeSat Magnetorquer","Used for desaturation of reaction wheels and safe-mode detumbling. Dipole moment ≥ 0.3 A·m².","electrical","misc",1,2000.00,2000.00,"https://www.gomspace.com/products/adcs/nanopower-magnetorquer.aspx"
"ADCS Controller Board","Custom ADCS Control Board","Dedicated board for ADCS algorithms. Runs EKF at 100 Hz, PD control for fine pointing, and B-dot detumble algorithm. Interfaces with all ADCS sensors and actuators.","electrical","misc",1,15000.00,15000.00,"https://www.gomspace.com/products/adcs/nanopower-adcs.aspx"
"Power Conditioning & Distribution Unit","GomSpace NanoPower P60 or DHV Technology EPS-R","Manages power from solar arrays and battery. Unregulated 28V primary bus. Provides regulated 12V/5A, 5V/6A, 3.3V/4A rails. 28V pass-through rails (5A for SAR/X-Band, 3A for Jetson). Per-panel MPPT. Overcurrent protection (eFuse, latching relay).","electrical","misc",1,30000.00,30000.00,"https://www.gomspace.com/products/power/nanopower-p60.aspx"
"Li-ion Battery Pack","GomSpace BPX / Saft MP176065 / EaglePicher LCB","100–150 Wh Li-ion battery pack, 7.4V (2S) or 14.8V (4S) nominal voltage. Operational SOC 20%-90%. Cell temperature monitoring.","mechanical","misc",1,10000.00,10000.00,"https://www.gomspace.com/products/power/nanopower-battery-bpx.aspx"
"Deployable Solar Array Panel 1","Custom Triple-junction GaAs Solar Panel","GaAs triple-junction solar cells (XTJ-Prime or equivalent) with ≥ 30% efficiency. CFRP substrate, CMX coverglass. Contributes to ~80W BOL total power.","mechanical","structural",1,8000.00,8000.00,"https://www.spectrolab.com/xtjprime.html"
"Deployable Solar Array Panel 2","Custom Triple-junction GaAs Solar Panel","GaAs triple-junction solar cells (XTJ-Prime or equivalent) with ≥ 30% efficiency. CFRP substrate, CMX coverglass. Contributes to ~80W BOL total power.","mechanical","structural",1,8000.00,8000.00,"https://www.spectrolab.com/xtjprime.html"
"Deployable Solar Array Panel 3","Custom Triple-junction GaAs Solar Panel","GaAs triple-junction solar cells (XTJ-Prime or equivalent) with ≥ 30% efficiency. CFRP substrate, CMX coverglass. Contributes to ~80W BOL total power.","mechanical","structural",1,8000.00,8000.00,"https://www.spectrolab.com/xtjprime.html"
"Deployable Solar Array Panel 4","Custom Triple-junction GaAs Solar Panel","GaAs triple-junction solar cells (XTJ-Prime or equivalent) with ≥ 30% efficiency. CFRP substrate, CMX coverglass. Contributes to ~80W BOL total power.","mechanical","structural",1,8000.00,8000.00,"https://www.spectrolab.com/xtjprime.html"
"Fixed Body-Mounted Solar Panel 5","Custom Triple-junction GaAs Solar Panel","Body-mounted GaAs triple-junction solar cells. Contributes to ~80W BOL total power.","mechanical","structural",1,4000.00,4000.00,"https://www.spectrolab.com/xtjprime.html"
"Fixed Body-Mounted Solar Panel 6","Custom Triple-junction GaAs Solar Panel","Body-mounted GaAs triple-junction solar cells. Contributes to ~80W BOL total power.","mechanical","structural",1,4000.00,4000.00,"https://www.spectrolab.com/xtjprime.html"
"X-Band High-Rate Transmitter","Syrlinks EWC27 or Tethers Unlimited SWIFT-XTS","8.0–8.4 GHz, 150 Mbps (QPSK, rate 7/8 turbo code), 5 W RF output power. Downlinks imagery and AI alert packets. AES-256 encryption.","electrical","misc",1,35000.00,35000.00,"https://www.syrlinks.com/en/ewc27"
"X-Band Phased Array Antenna","Custom 4-element Patch Array Antenna","Fixed nadir-pointing 4-element patch phased array. ~10 dBi gain, ±25° HPBW. Connected to X-Band transmitter.","mechanical","misc",1,8000.00,8000.00,"https://www.digikey.com/en/products/result?keywords=x-band+patch+antenna+array"
"S-Band TT&C Transceiver Module","Custom S-Band Transceiver","2.025–2.110 GHz uplink, 2.200–2.290 GHz downlink. 9.6 kbps uplink, 256 kbps downlink. 1 W RF output. CCSDS TC/TM Space Packet Protocol. For telemetry, tracking & commanding.","electrical","misc",1,15000.00,15000.00,"https://www.gomspace.com/products/communication/nanopower-s-band-radio.aspx"
"S-Band Patch Antenna (+Z Face)","Custom CubeSat S-Band Patch Antenna","Provides full-sphere S-Band coverage, mounted on +Z face.","mechanical","misc",1,1000.00,1000.00,"https://www.digikey.com/en/products/result?keywords=s-band+patch+antenna"
"S-Band Patch Antenna (-Z Face)","Custom CubeSat S-Band Patch Antenna","Provides full-sphere S-Band coverage, mounted on -Z face.","mechanical","misc",1,1000.00,1000.00,"https://www.digikey.com/en/products/result?keywords=s-band+patch+antenna"
"Battery Heater Mat 1","Kapton Heater Mat","2W thermostatically controlled Kapton heater mat for battery pack. Activates if battery temperature falls below 5°C.","electrical","misc",1,50.00,50.00,"https://www.digikey.com/en/products/detail/omega-engineering/KHLV-050-P-120/19024036"
"Battery Heater Mat 2","Kapton Heater Mat","2W thermostatically controlled Kapton heater mat for battery pack. Activates if battery temperature falls below 5°C.","electrical","misc",1,50.00,50.00,"https://www.digikey.com/en/products/detail/omega-engineering/KHLV-050-P-120/19024036"
"Temperature Sensor Node 1","Analog Devices ADT7420 (or similar)","Monitors temperature at a specific location for thermal control.","electrical","misc",1,10.00,10.00,"https://www.analog.com/en/products/adt7420.html"
"Temperature Sensor Node 2","Analog Devices ADT7420 (or similar)","Monitors temperature at a specific location for thermal control.","electrical","misc",1,10.00,10.00,"https://www.analog.com/en/products/adt7420.html"
"Temperature Sensor Node 3","Analog Devices ADT7420 (or similar)","Monitors temperature at a specific location for thermal control.","electrical","misc",1,10.00,10.00,"https://www.analog.com/en/products/adt7420.html"
"Temperature Sensor Node 4","Analog Devices ADT7420 (or similar)","Monitors temperature at a specific location for thermal control.","electrical","misc",1,10.00,10.00,"https://www.analog.com/en/products/adt7420.html"
"Temperature Sensor Node 5","Analog Devices ADT7420 (or similar)","Monitors temperature at a specific location for thermal control.","electrical","misc",1,10.00,10.00,"https://www.analog.com/en/products/adt7420.html"
"Temperature Sensor Node 6","Analog Devices ADT7420 (or similar)","Monitors temperature at a specific location for thermal control.","electrical","misc",1,10.00,10.00,"https://www.analog.com/en/products/adt7420.html"
"Solar Array 1 Deployment Actuator","Shape Memory Alloy (SMA) Actuator","Pyro-free SMA actuator for deploying Solar Array Panel 1. Dual-redundant command paths, arm+fire sequence.","electrical","mechanism",1,500.00,500.00,"https://www.saesgetters.com/products/shape-memory-alloys/"
"Solar Array 2 Deployment Actuator","Shape Memory Alloy (SMA) Actuator","Pyro-free SMA actuator for deploying Solar Array Panel 2. Dual-redundant command paths, arm+fire sequence.","electrical","mechanism",1,500.00,500.00,"https://www.saesgetters.com/products/shape-memory-alloys/"
"Solar Array 3 Deployment Actuator","Shape Memory Alloy (SMA) Actuator","Pyro-free SMA actuator for deploying Solar Array Panel 3. Dual-redundant command paths, arm+fire sequence.","electrical","mechanism",1,500.00,500.00,"https://www.saesgetters.com/products/shape-memory-alloys/"
